選手名,出場数,得点数,初出場,最終出場,ポジション
西川周作,31,0,2009/10/8,2016/11/15,GK
徳永悠平,9,0,2009/10/8,2013/7/28,DF
山口智,2,0,2009/5/27,2009/5/31,DF
山田直輝,2,0,2009/5/27,2010/1/6,MF
金崎夢生,11,2,2009/1/20,2017/12/9,MF
乾貴士,36,6,2009/1/20,2019/3/26,"FW, MF"
岡崎慎司,119,50,2008/10/9,2019/6/24,"FW, MF"
興梠慎三,16,0,2008/10/9,2015/9/3,FW
高木和道,5,0,2008/8/20,2009/2/4,DF
青木剛,2,0,2008/8/20,2009/1/20,MF
本田圭佑,98,37,2008/6/22,2018/7/2,"FW, MF"
寺田周平,6,0,2008/5/27,2009/1/28,DF
長友佑都,121,4,2008/5/24,2019/10/15,DF
香川真司,97,31,2008/5/24,2019/3/26,"FW, MF"
川島永嗣,90,0,2008/2/17,2019/6/24,GK
安田理大,7,1,2008/2/17,2011/6/1,DF
田代有三,3,0,2008/2/17,2008/2/23,FW
内田篤人,74,2,2008/1/26,2015/3/31,DF
前田遼一,33,10,2007/8/22,2013/6/22,FW
橋本英郎,15,0,2007/6/1,2010/9/7,MF
家長昭博,3,0,2007/3/24,2011/8/10,MF
藤本淳吾,13,1,2007/3/24,2012/8/15,MF
水野晃樹,4,0,2007/3/24,2007/7/16,MF
矢野貴章,19,2,2007/3/24,2010/6/14,FW
高松大樹,2,0,2006/11/15,2007/8/22,FW
水本裕貴,7,0,2006/10/4,2015/3/31,DF
中村憲剛,68,6,2006/10/4,2013/6/22,MF
二川孝広,1,0,2006/10/4,2006/10/4,MF
山岸智,11,0,2006/10/4,2008/3/26,MF
播戸竜二,7,2,2006/10/4,2008/2/23,FW
梅崎司,1,0,2006/9/6,2006/9/6,MF
佐藤勇人,1,0,2006/8/16,2006/8/16,MF
羽生直剛,17,0,2006/8/16,2008/2/20,MF
栗原勇蔵,20,3,2006/8/9,2013/7/28,DF
田中マルクス闘莉王,43,8,2006/8/9,2010/6/29,DF
小林大悟,1,0,2006/8/9,2006/8/9,MF
鈴木啓太,28,0,2006/8/9,2008/5/27,MF
