選手名,出場数,得点数,初出場,最終出場,ポジション
大埜正雄,3,0,1954/3/14,1954/5/3,"FW, MF"
村岡博人,2,0,1954/3/7,1954/5/1,GK
山路修,1,0,1954/3/7,1954/3/7,DF
井上健,1,0,1954/3/7,1954/3/7,MF
木村現,6,1,1954/3/7,1955/10/9,MF
長沼健,4,1,1954/3/7,1961/11/28,FW
加藤信幸,1,0,1951/3/9,1951/3/9,MF
則武謙,1,0,1951/3/9,1951/3/9,FW
松永碩,1,0,1951/3/9,1951/3/9,FW
岡田吉夫,7,0,1951/3/7,1954/5/3,DF
田村恵,3,0,1951/3/7,1951/3/9,DF
有馬洪,3,0,1951/3/7,1951/3/9,MF
杉本茂雄,3,0,1951/3/7,1954/3/7,"MF, DF"
宮田孝治,6,0,1951/3/7,1954/5/3,MF
岩谷俊夫,8,4,1951/3/7,1956/6/10,FW
賀川太郎,5,0,1951/3/7,1954/5/1,FW
加納孝,7,2,1951/3/7,1954/5/3,FW
鴇田正憲,12,2,1951/3/7,1959/9/5,FW
津田幸男,4,0,1940/6/16,1951/3/9,GK
末岡圀孝,1,0,1940/6/16,1940/6/16,DF
李裕瑩,1,0,1940/6/16,1940/6/16,MF
笠原隆,1,0,1940/6/16,1940/6/16,MF
金成汗,1,0,1940/6/16,1940/6/16,FW
篠崎三郎,1,0,1940/6/16,1940/6/16,FW
直木和,1,0,1940/6/16,1940/6/16,FW
二宮洋一,6,1,1940/6/16,1954/5/3,FW
佐野理平,2,0,1936/8/4,1936/8/7,GK
種田孝一,2,0,1936/8/4,1936/8/7,"MF, DF"
金容植,3,0,1936/8/4,1940/6/16,MF
加茂正五,2,0,1936/8/4,1936/8/7,FW
加茂健,2,0,1936/8/4,1936/8/7,FW
松永行,2,1,1936/8/4,1936/8/7,FW
名取武（英語版）,1,1,1934/5/20,1934/5/20,FW
鈴木保男,2,0,1934/5/15,1936/8/7,DF
堀江忠男,3,0,1934/5/15,1936/8/4,DF
右近徳太郎,5,1,1934/5/15,1940/6/16,"FW, MF, DF"
金澤宏,2,0,1934/5/13,1934/5/15,GK
熊井俊一,2,0,1934/5/13,1934/5/20,GK
安部輝雄,2,0,1934/5/13,1934/5/15,DF
川西隆,3,0,1934/5/13,1934/5/20,MF
立原元夫,4,0,1934/5/13,1936/8/7,MF
三崎四郎,3,0,1934/5/13,1934/5/20,MF
大谷一二,3,1,1934/5/13,1934/5/20,FW
川本泰三,9,4,1934/5/13,1954/5/3,FW
堺井秀雄,3,0,1934/5/13,1934/5/20,FW
西邑昌一,2,1,1934/5/13,1934/5/15,FW
野澤晁,3,3,1934/5/13,1934/5/20,FW
松丸貞一,3,0,1934/5/13,1934/5/20,"FW, MF"
斎藤才三,2,0,1930/5/25,1930/5/29,GK
後藤靱雄,4,0,1930/5/25,1934/5/20,DF
竹内悌三,4,0,1930/5/25,1936/8/7,DF
井出多米夫,1,0,1930/5/25,1930/5/25,MF
野澤正雄,2,0,1930/5/25,1930/5/29,MF
市橋時蔵,2,1,1930/5/25,1930/5/29,FW
篠島秀雄,2,1,1930/5/25,1930/5/29,FW
高山忠雄,2,1,1930/5/25,1930/5/29,FW
手島志郎,2,2,1930/5/25,1930/5/29,FW
若林竹雄,2,4,1930/5/25,1930/5/29,FW
瀧通世,1,0,1927/8/29,1927/8/29,FW
西川潤之,2,0,1927/8/27,1927/8/29,GK
本田長康,4,0,1927/8/27,1930/5/29,"GK, MF"
近藤台五郎,2,0,1927/8/27,1927/8/29,DF
朝倉保,2,0,1927/8/27,1927/8/29,MF
有馬暎夫,2,0,1927/8/27,1927/8/29,MF
杉村正二郎,1,0,1927/8/27,1927/8/27,MF
鈴木重義,2,1,1927/8/27,1927/8/29,FW
高橋茂 ,2,0,1927/8/27,1927/8/29,FW
高師康,2,0,1927/8/27,1927/8/29,"FW, MF"
玉井操,2,1,1927/8/27,1927/8/29,FW
春山泰雄,4,0,1927/8/27,1930/5/29,FW
高橋栄,1,0,1925/5/20,1925/5/20,DF
丸谷清之介,1,0,1925/5/20,1925/5/20,MF
清水金二郎,1,0,1925/5/20,1925/5/20,FW
竹腰重丸,5,1,1925/5/20,1930/5/29,FW
渡邊彌之助,2,0,1925/5/17,1925/5/20,GK
大山義松,2,0,1925/5/17,1925/5/20,DF
八田卯一郎,2,0,1925/5/17,1925/5/20,MF
真殿益蔵,2,0,1925/5/17,1925/5/20,MF
宮地利雄,2,0,1925/5/17,1925/5/20,MF
内田一二四,2,0,1925/5/17,1925/5/20,FW
香川幸,2,0,1925/5/17,1925/5/20,FW
高田正夫,2,0,1925/5/17,1925/5/20,FW
三宅二郎,2,0,1925/5/17,1925/5/20,FW
井上俊平,1,0,1923/5/24,1923/5/24,FW
原田福三郎,2,0,1923/5/23,1923/5/24,GK
日高卯三郎,2,0,1923/5/23,1923/5/24,DF
深山静夫,2,0,1923/5/23,1923/5/24,DF
神田清雄,4,0,1923/5/23,1925/5/20,MF
澤潟節,2,0,1923/5/23,1923/5/24,MF
平林俊夫,2,0,1923/5/23,1923/5/24,MF
安積四郎,3,0,1923/5/23,1925/5/17,FW
木坂規矩三,2,0,1923/5/23,1923/5/24,FW
清水隆三,2,1,1923/5/23,1923/5/24,FW
藤原良夫,1,0,1923/5/23,1923/5/23,FW
清水直右衛門,2,1,1923/5/23,1923/5/24,"FW, DF"
